ano,pais,electricidad,poblacion,cultivos,desempleo,hambre
YR2018,Colombia,98.5,44.4136647138351,1.88305858494817,9.11,6.2
YR2018,Paraguay,99.6,16.2177900830607,11.9154291467405,6.22,7.8
YR2018,Peru,95.2,25.15933125,2.97996171875,3.49,7.6
YR2018,Bolivia,92.8,10.7143958275639,4.27176156189421,3.52,12.1
YR2019,United States,100.0,35.8931756713915,17.2438567377468,3.67,2.5
YR2019,Canada,100.0,4.19394931064213,4.31070347852177,5.66,2.5
YR2019,Chile,100.0,25.6068131566631,1.75771049531157,7.27,2.6
YR2019,Argentina,100.0,16.4208266190179,14.9117217149184,9.84,3.5
YR2019,Uruguay,99.9,19.588669866301,11.9317792252314,8.73,2.5
YR2019,Brazil,99.8,25.3385176606278,6.82061918082253,12.05,2.6
YR2019,Costa Rica,99.71,99.57955346651,4.75910693301998,10.81,3.4
YR2019,Mexico,99.6,64.3459507703387,9.97968054733918,3.48,6.0
"YR2019,""Venezuela, RB"",99.8447799682617,32.8458511422255,2.94767870302137,5.092,24.9"
YR2019,Ecuador,99.09,69.8330649057819,3.9821227250765,3.81,13.7
YR2019,Colombia,99.4442596435547,45.2342550698513,1.90400180261379,9.96,7.2
YR2019,Paraguay,99.7,16.436008054367,11.9154291467405,6.59,8.2
YR2019,Peru,95.551360223182,25.64442265625,2.7970515625,3.38,8.1
YR2019,Bolivia,95.08,10.8717022062217,4.37775491553586,3.68,11.9
